"divisi_id";"divisi_name";"divisi_comp";"divisi_datetime"
"1";"HRD";"1";"2021-11-22 21:31:03"
"2";"Produksi - Operasional";"1";"2021-11-22 21:31:03"
"3";"Engineering - Survey";"1";"2021-11-22 21:31:03"
"4";"GAW";"1";"2021-11-22 21:31:03"
"5";"HSE";"1";"2021-11-22 21:31:03"
"6";"CPP";"1";"2021-11-22 21:31:03"
"7";"Comdev";"1";"2021-11-22 21:31:03"
"8";"Quality Control";"1";"2021-11-22 21:31:03"
"9";"Management";"1";"2021-11-22 21:31:03"
"10";"HSE";"4";"2021-11-22 21:31:03"
"11";"HRGA";"4";"2021-11-22 21:31:03"
"12";"Produksi - Operasional";"4";"2021-11-22 21:31:03"
"13";"Engineering - Survey	";"4";"2021-11-22 21:31:03"
"14";"Plant";"4";"2021-11-22 21:31:03"
"15";"Warehouse - Logistik	";"4";"2021-11-22 21:31:03"
"16";"Management";"4";"2021-11-22 21:31:03"
"17";"HSE";"6";"2021-11-22 21:31:03"
"18";"HRGA";"6";"2021-11-22 21:31:03"
"19";"Produksi - Operasional";"6";"2021-11-22 21:31:03"
"20";"Engineering - Survey";"6";"2021-11-22 21:31:03"
"21";"Plant";"6";"2021-11-22 21:31:03"
"22";"Warehouse - Logistik	";"6";"2021-11-22 21:31:03"
"23";"Management	";"6";"2021-11-22 21:31:03"
"24";"HSE";"3";"2021-11-22 21:31:03"
"25";"HRGA";"3";"2021-11-22 21:31:03"
"26";"Produksi - Operasional";"3";"2021-11-22 21:31:03"
"27";"Engineering - Survey";"3";"2021-11-22 21:31:03"
"28";"Plant";"3";"2021-11-22 21:31:03"
"29";"Warehouse - Logistik	";"3";"2021-11-22 21:31:03"
"30";"Management";"3";"2021-11-22 21:31:03"
"31";"HSE";"2";"2021-11-22 21:31:03"
"32";"HRGA";"2";"2021-11-22 21:31:03"
"33";"Produksi - Operasional";"2";"2021-11-22 21:31:03"
"34";"Engineering - Survey";"2";"2021-11-22 21:31:03"
"35";"Plant";"2";"2021-11-22 21:31:03"
"36";"Logistik - Warehouse	";"2";"2021-11-22 21:31:03"
"37";"Management";"2";"2021-11-22 21:31:03"
"38";"IT";"2";"2021-11-22 21:31:03"
"39";"HSE";"9";"2021-11-22 21:31:03"
"40";"HRGA";"9";"2021-11-22 21:31:03"
"41";"Produksi - Operasional";"9";"2021-11-22 21:31:03"
"42";"Engineering - Survey";"9";"2021-11-22 21:31:03"
"43";"Plant";"9";"2021-11-22 21:31:03"
"44";"Warehouse - Logistik";"9";"2021-11-22 21:31:03"
"45";"Management";"9";"2021-11-22 21:31:03"
"46";"HSE";"7";"2021-11-22 21:31:03"
"47";"HRGA";"7";"2021-11-22 21:31:03"
"48";"Produksi - Operasional";"7";"2021-11-22 21:31:03"
"49";"Engineering - Survey	";"7";"2021-11-22 21:31:03"
"50";"Plant";"7";"2021-11-22 21:31:03"
"51";"Warehouse - Logistik	";"7";"2021-11-22 21:31:03"
"52";"Management";"7";"2021-11-22 21:31:03"
"53";"HSE";"10";"2021-11-22 21:31:03"
"54";"HRGA";"10";"2021-11-22 21:31:03"
"55";"Produksi - Operasional";"10";"2021-11-22 21:31:03"
"56";"Engineering - Survey";"10";"2021-11-22 21:31:03"
"57";"Plant";"10";"2021-11-22 21:31:03"
"58";"Warehouse - Logistik	";"10";"2021-11-22 21:31:03"
"59";"Management";"10";"2021-11-22 21:31:03"
"62";"Produksi - Operasional";"8";"2022-07-02 12:53:35"
"63";"Operasional";"14";"2022-11-06 08:02:23"
"64";"HSE";"14";"2022-11-06 08:09:41"
"65";"Operasional";"5";"2023-02-24 08:46:21"
"66";"Produksi - Operasional";"16";"2023-06-09 14:44:53"
"67";"HSE";"16";"2023-06-09 14:45:01"
